Question	Answer	Source	Metadata	Question
hi	Hello! How can I help You?.	adishnjr	editorial:chitchat	hi
help	https://texasintl.edu.np/.	adishnjr	editorial:chitchat	help
contact	01-4590670.	adishnjr	editorial:chitchat	contact
number	01-4590670.	adishnjr	editorial:chitchat	number
call	01-4590670.	adishnjr	editorial:chitchat	call
phone	01-4590670.	adishnjr	editorial:chitchat	phone
website	https://texaslearningportal.com/default.aspx?aspxerrorpath=/.	adishnjr	editorial:chitchat	website
notes	https://texaslearningportal.com/default.aspx?aspxerrorpath=/.	adishnjr	editorial:chitchat	notes
Bit note	https://texaslearningportal.com/Bit_Notes/dash.aspx.	adishnjr	editorial:chitchat	Bit note
ai	https://texaslearningportal.com/Bit_Notes/AI.aspx.	adishnjr	editorial:chitchat	ai
mobile computig	https://texaslearningportal.com/Bit_Notes/mobile_computing.aspx.	adishnjr	editorial:chitchat	mobile computig
mc	https://texaslearningportal.com/Bit_Notes/mobile_computing.aspx.	adishnjr	editorial:chitchat	mc
cdc	https://texaslearningportal.com/Bit_Notes/compiler_and_design_constructions.aspx.	adishnjr	editorial:chitchat	cdc
compiler and design	https://texaslearningportal.com/Bit_Notes/compiler_and_design_constructions.aspx.	adishnjr	editorial:chitchat	compiler and design
rts	https://texaslearningportal.com/Bit_Notes/real_time_system.aspx.	adishnjr	editorial:chitchat	rts
real time system	https://texaslearningportal.com/Bit_Notes/real_time_system.aspx.	adishnjr	editorial:chitchat	real time system
project work	https://texaslearningportal.com/Bit_Notes/project_work.aspx.	adishnjr	editorial:chitchat	project work
suman  thapaliya	suman@tecascollege.edu.np/9801644457.	adishnjr	editorial:chitchat	suman  thapaliya
suman  	 suman@tecascollege.edu.np/9801644457.	adishnjr	editorial:chitchat	suman  
suman sir	 suman@tecascollege.edu.np/9801644457.	adishnjr	editorial:chitchat	suman sir
location	https://www.google.com/maps/place/texas+internartional+collage/@27.7120508,85.344008,18.25z/data=!4m12!1m6!3m5!1s0x39eb1970a9ff7041:0xfcaa45db29104458!2sTexas+International+College!8m2!3d27.7123959!4d85.344594!3m4!1s0x39eb1981be19324f:0x73199a1d91a6e625!8m2!3d27.7128562!4d85.3452103.	adishnjr	editorial:chitchat	location
news	https://texascollege.edu.np/news-media/.	adishnjr	editorial:chitchat	news
commands	hi,help,conact,number,call,phone,website,notes,bit notes,location. 	adishnjr	editorial:chitchat	commands
